Name,Category,Brief,Description,Icon,Priority,Project,Public
"React Frontend Developer","Development","Build modern React components for our web applications","We're looking for a skilled React developer to help build and maintain our web applications. You'll work with TypeScript, Tailwind CSS, and modern React patterns including hooks and context. Experience with SSG frameworks like Vike or Next.js is a plus.","code","High","wemeditate",1
"UI/UX Designer","Design","Design beautiful and intuitive user interfaces","Help us create stunning, user-friendly interfaces for our meditation apps and websites. You'll work closely with developers to ensure designs are implemented pixel-perfect. Figma experience required.","palette","High","wemeditate",1
"Backend Developer","Development","Build and maintain server-side applications","Develop and maintain our backend services using Node.js and cloud platforms. Experience with Cloudflare Workers, serverless functions, and REST APIs required.","server","Medium","atlas",1
"Content Writer","Content","Write engaging meditation-related content","Create compelling, SEO-friendly content for our websites and apps. Experience writing about meditation, wellness, or spirituality is highly valued.","pencil","Medium","wemeditate",1
"Mobile App Developer","Development","Develop cross-platform mobile applications","Build and maintain our React Native mobile applications for iOS and Android. Experience with app store deployment and push notifications is a plus.","smartphone","High","app",1
"DevOps Engineer","Development","Manage infrastructure and CI/CD pipelines","Set up and maintain our deployment pipelines, monitoring, and cloud infrastructure. Experience with Cloudflare, GitHub Actions, and containerization required.","cloud","Low","",1
"Video Editor","Content","Edit meditation and instructional videos","Edit and produce high-quality video content for our platforms. Experience with Adobe Premiere or Final Cut Pro required. Motion graphics skills are a bonus.","video","Medium","wemeditate",1
"Translation Coordinator","Content","Coordinate translations across multiple languages","Manage our translation workflows and coordinate with volunteer translators worldwide. Must be detail-oriented and experienced with localization processes.","globe","Low","wemeditate",1
"QA Tester","Development","Test applications and report bugs","Help ensure quality by testing our web and mobile applications. Write test cases, report bugs, and verify fixes. Attention to detail is essential.","bug","Medium","app",1
"Community Manager","Marketing","Engage with our online community","Manage our social media presence and engage with our community of meditators. Experience with social media management tools and analytics required.","users","Low","",1
